humidity,temperature
40,33.8
40,33.8
40,33.8
40,33.9
40,33.9
40,33.9
40,33.9
40,33.9
40,33.9
40,33.8
40,33.8
40,33.8
40,33.9
40,33.9
40,33.9
45,33.8
45,33.8
45,33.8
58,33.9
58,33.9
58,33.9
67,33.9
67,33.9
67,33.9
72,34.3
72,34.3
72,34.3
74,34
74,34
74,34
76,34.1
76,34.1
76,34.1
77,34.1
77,34.1
77,34.1
78,34.2
78,34.2
78,34.2
78,34.3
78,34.3
78,34.3
79,34.3
79,34.3
79,34.3
79,34.3
79,34.3
79,34.3
79,34.4
79,34.4
79,34.4
80,34.5
80,34.5
80,34.5
80,34.5
80,34.5
80,34.5
78,34.5
78,34.5
78,34.5
63,34.5
63,34.5
63,34.5
55,34.5
55,34.5
55,34.5
49,34.6
49,34.6
49,34.6
46,34.6
46,34.6
46,34.6
45,34.5
45,34.5
45,34.5
43,34.5
43,34.5
43,34.5
